Complaint_Text,Category,Sentiment,Priority,Village,Date,Pincode,lang
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Pandare,2024-12-23,413103,mr
The road from Malegaon to nearby town is full of potholes.,Road,Negative,Low,Pandare,2024-04-05,413103,en
Frequent power cuts in the evening.,Electricity,Negative,High,Baramati,2024-03-19,413102,en
पाण्याचा टँकर आला नाही 8 दिवसांपासून.,Water,Negative,High,Malegaon,2024-08-13,413115,mr
No electricity for 8 hours continuously.,Electricity,Negative,High,Supa,2024-12-02,413109,en
Road construction is pending for months.,Road,Negative,Low,Malegaon,2024-10-03,413115,en
The road from Baramati to nearby town is full of potholes.,Road,Negative,Low,Malegaon,2024-12-25,413115,en
Electric transformer is not working in Baramati.,Electricity,Negative,High,Pandare,2024-08-09,413103,en
Streetlights are not working at the chowk.,Others,Negative,Low,Supa,2024-02-21,413109,en
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2025-08-17,413115,mr
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Malegaon,2024-03-26,413115,mr
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Pandare,2025-04-10,413103,mr
Playground is not maintained properly.,Others,Negative,Low,Supa,2024-11-12,413109,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Someshwar,2025-05-08,412306,mr
Road construction is pending for months.,Road,Negative,Low,Pandare,2025-08-23,413103,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Someshwar,2025-02-22,412306,mr
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Katphal,2024-12-26,413111,en
Playground is not maintained properly.,Others,Negative,Low,Morgaon,2024-07-29,413304,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Nimbut,2025-04-22,413110,mr
Garbage is not collected regularly in Jejuri.,Sanitation,Negative,Medium,Katphal,2024-03-21,413111,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Baramati,2024-02-28,413102,mr
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2024-12-21,413111,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Supa,2024-03-27,413109,mr
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Katphal,2025-07-10,413111,mr
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Nimbut,2024-01-23,413110,mr
Frequent power cuts in the evening.,Electricity,Negative,High,Someshwar,2024-09-14,412306,en
No doctor available at primary health center.,Health,Negative,High,Baramati,2024-10-04,413102,en
Village health worker is absent since 9 days.,Health,Negative,Medium,Katphal,2024-08-21,413111,en
The road from Someshwar to nearby town is full of potholes.,Road,Negative,Low,Pandare,2025-03-19,413103,en
No water supply in the village since 2 days.,Water,Negative,High,Morgaon,2025-07-23,413304,en
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2025-06-20,413111,en
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,High,Malegaon,2024-01-31,413115,mr
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Pandare,2024-06-20,413103,mr
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Malegaon,2025-03-02,413115,mr
Electric transformer is not working in Baramati.,Electricity,Negative,High,Malegaon,2024-03-15,413115,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Pandare,2024-07-03,413103,mr
No electricity for 5 hours continuously.,Electricity,Negative,High,Malegaon,2025-03-25,413115,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Morgaon,2024-02-24,413304,mr
Playground is not maintained properly.,Others,Negative,Low,Nimbut,2025-08-05,413110,en
Frequent power cuts in the evening.,Electricity,Negative,High,Baramati,2024-10-15,413102,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Malegaon,2024-08-01,413115,mr
Garbage is not collected regularly in Bhigwan.,Sanitation,Negative,Medium,Katphal,2025-03-15,413111,en
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Supa,2024-06-17,413109,mr
Village health worker is absent since 1 days.,Health,Negative,High,Supa,2025-03-03,413109,en
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Malegaon,2024-01-11,413115,mr
No doctor available at primary health center.,Health,Negative,Medium,Morgaon,2024-01-08,413304,en
Library in village remains closed.,Others,Negative,Low,Baramati,2025-06-28,413102,en
Medicines are not available at PHC.,Health,Negative,High,Nimbut,2025-07-31,413110,en
Emergency ambulance did not arrive on time.,Health,Negative,High,Supa,2024-10-16,413109,en
Emergency ambulance did not arrive on time.,Health,Negative,High,Someshwar,2024-03-11,412306,en
No doctor available at primary health center.,Health,Negative,High,Katphal,2025-07-10,413111,en
No electricity for 9 hours continuously.,Electricity,Negative,High,Someshwar,2024-10-24,412306,en
No water supply in the village since 10 days.,Water,Negative,High,Nimbut,2024-09-06,413110,en
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Morgaon,2024-10-11,413304,en
Road construction is pending for months.,Road,Negative,Low,Malegaon,2024-07-19,413115,en
पाण्याचा टँकर आला नाही 10 दिवसांपासून.,Water,Negative,High,Katphal,2025-04-20,413111,mr
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,Medium,Someshwar,2025-06-20,412306,mr
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Supa,2024-03-13,413109,mr
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Someshwar,2025-06-20,412306,mr
Garbage is not collected regularly in Bhigwan.,Sanitation,Negative,Medium,Katphal,2024-06-15,413111,en
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Supa,2025-02-22,413109,en
"Handpump is broken, villagers are suffering.",Water,Negative,High,Morgaon,2025-03-29,413304,en
No water supply in the village since 8 days.,Water,Negative,High,Someshwar,2024-05-02,412306,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Malegaon,2025-08-24,413115,mr
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Katphal,2024-06-22,413111,mr
Frequent power cuts in the evening.,Electricity,Negative,High,Katphal,2024-07-10,413111,en
Garbage is not collected regularly in Pandharpur.,Sanitation,Negative,Medium,Baramati,2025-08-31,413102,en
Playground is not maintained properly.,Others,Negative,Low,Baramati,2024-02-05,413102,en
Playground is not maintained properly.,Others,Negative,Low,Someshwar,2025-02-13,412306,en
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2025-03-21,413111,en
No water supply in the village since 10 days.,Water,Negative,High,Malegaon,2025-02-16,413115,en
Library in village remains closed.,Others,Negative,Low,Katphal,2025-09-02,413111,en
No doctor available at primary health center.,Health,Negative,High,Morgaon,2025-03-12,413304,en
Frequent power cuts in the evening.,Electricity,Negative,High,Morgaon,2024-11-02,413304,en
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Morgaon,2025-08-23,413304,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Katphal,2024-06-04,413111,mr
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Pandare,2024-09-13,413103,mr
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Baramati,2024-12-13,413102,mr
Road construction is pending for months.,Road,Negative,Low,Morgaon,2024-01-15,413304,en
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Baramati,2025-08-01,413102,mr
Streetlights are not working at the chowk.,Others,Negative,Low,Pandare,2025-07-05,413103,en
No doctor available at primary health center.,Health,Negative,High,Nimbut,2024-06-27,413110,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Nimbut,2025-04-09,413110,mr
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Morgaon,2024-07-30,413304,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Katphal,2024-03-25,413111,mr
पाण्याचा टँकर आला नाही 10 दिवसांपासून.,Water,Negative,High,Nimbut,2025-07-29,413110,mr
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Katphal,2024-12-14,413111,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Morgaon,2024-06-07,413304,mr
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Malegaon,2024-11-16,413115,mr
पाण्याचा टँकर आला नाही 6 दिवसांपासून.,Water,Negative,High,Nimbut,2024-07-01,413110,mr
"Handpump is broken, villagers are suffering.",Water,Negative,High,Pandare,2025-02-09,413103,en
Frequent power cuts in the evening.,Electricity,Negative,High,Baramati,2024-01-14,413102,en
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,High,Malegaon,2024-11-16,413115,mr
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Baramati,2024-01-29,413102,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Katphal,2024-05-29,413111,mr
Frequent power cuts in the evening.,Electricity,Negative,High,Malegaon,2024-06-01,413115,en
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Nimbut,2024-03-01,413110,mr
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Supa,2025-05-03,413109,mr
No doctor available at primary health center.,Health,Negative,Medium,Pandare,2024-02-04,413103,en
No water supply in the village since 10 days.,Water,Negative,High,Pandare,2024-07-18,413103,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Katphal,2025-01-25,413111,mr
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Supa,2025-08-30,413109,mr
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Baramati,2024-01-06,413102,mr
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Malegaon,2025-03-28,413115,mr
No electricity for 9 hours continuously.,Electricity,Negative,High,Pandare,2025-03-03,413103,en
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Baramati,2024-04-14,413102,mr
पाण्याचा टँकर आला नाही 4 दिवसांपासून.,Water,Negative,High,Supa,2024-01-08,413109,mr
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Katphal,2024-10-05,413111,en
No water supply in the village since 2 days.,Water,Negative,High,Baramati,2024-01-31,413102,en
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Supa,2024-05-29,413109,mr
Village health worker is absent since 9 days.,Health,Negative,Medium,Katphal,2025-03-27,413111,en
पाण्याचा टँकर आला नाही 1 दिवसांपासून.,Water,Negative,High,Someshwar,2024-08-07,412306,mr
"Handpump is broken, villagers are suffering.",Water,Negative,High,Malegaon,2025-03-15,413115,en
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Nimbut,2024-01-01,413110,mr
Medicines are not available at PHC.,Health,Negative,High,Someshwar,2024-03-17,412306,en
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Baramati,2024-05-25,413102,mr
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Supa,2025-02-04,413109,mr
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Malegaon,2024-05-15,413115,en
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Katphal,2024-06-26,413111,mr
Village road is damaged due to rain.,Road,Negative,Low,Nimbut,2024-12-29,413110,en
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2025-08-15,413115,mr
Garbage is not collected regularly in Jejuri.,Sanitation,Negative,Medium,Nimbut,2024-12-26,413110,en
Village health worker is absent since 2 days.,Health,Negative,Medium,Baramati,2025-01-23,413102,en
"Handpump is broken, villagers are suffering.",Water,Negative,High,Morgaon,2025-08-05,413304,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Malegaon,2024-02-05,413115,mr
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Malegaon,2025-08-14,413115,en
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Nimbut,2025-09-15,413110,mr
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Someshwar,2024-06-03,412306,mr
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Someshwar,2025-05-04,412306,mr
Library in village remains closed.,Others,Negative,Low,Supa,2024-03-21,413109,en
पाण्याचा टँकर आला नाही 2 दिवसांपासून.,Water,Negative,High,Morgaon,2024-08-02,413304,mr
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2024-02-08,413115,mr
Library in village remains closed.,Others,Negative,Low,Malegaon,2024-12-02,413115,en
Road construction is pending for months.,Road,Negative,Low,Someshwar,2025-02-06,412306,en
Village road is damaged due to rain.,Road,Negative,Low,Nimbut,2024-09-29,413110,en
Village road is damaged due to rain.,Road,Negative,Low,Baramati,2024-12-17,413102,en
Drinking water tank is empty.,Water,Negative,High,Katphal,2025-01-31,413111,en
No water supply in the village since 1 days.,Water,Negative,High,Nimbut,2024-04-10,413110,en
Road construction is pending for months.,Road,Negative,Low,Nimbut,2024-05-15,413110,en
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Baramati,2024-12-05,413102,en
Village health worker is absent since 3 days.,Health,Negative,Medium,Pandare,2024-09-23,413103,en
No water supply in the village since 2 days.,Water,Negative,High,Katphal,2025-08-04,413111,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Supa,2024-01-17,413109,mr
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Katphal,2024-01-05,413111,mr
No electricity for 1 hours continuously.,Electricity,Negative,High,Katphal,2024-11-30,413111,en
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Morgaon,2024-12-29,413304,mr
Medicines are not available at PHC.,Health,Negative,High,Malegaon,2024-05-25,413115,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Pandare,2024-03-03,413103,mr
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Someshwar,2025-04-21,412306,mr
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2025-02-08,413115,mr
Drinking water tank is empty.,Water,Negative,High,Morgaon,2024-04-24,413304,en
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Morgaon,2024-07-26,413304,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Baramati,2025-05-28,413102,mr
Library in village remains closed.,Others,Negative,Low,Katphal,2025-03-22,413111,en
Library in village remains closed.,Others,Negative,Low,Morgaon,2024-04-12,413304,en
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Morgaon,2024-07-16,413304,mr
Drinking water tank is empty.,Water,Negative,High,Pandare,2024-12-28,413103,en
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Morgaon,2024-07-31,413304,mr
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Supa,2025-06-22,413109,mr
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Nimbut,2024-04-28,413110,en
Garbage is not collected regularly in Someshwar.,Sanitation,Negative,Medium,Pandare,2025-07-05,413103,en
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Supa,2024-11-01,413109,mr
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Supa,2025-03-09,413109,en
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Someshwar,2025-08-02,412306,mr
Frequent power cuts in the evening.,Electricity,Negative,High,Baramati,2024-08-24,413102,en
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Someshwar,2024-08-08,412306,mr
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Malegaon,2024-10-06,413115,mr
No water supply in the village since 1 days.,Water,Negative,High,Morgaon,2024-05-06,413304,en
The road from Someshwar to nearby town is full of potholes.,Road,Negative,Low,Morgaon,2024-11-19,413304,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2024-05-07,412306,mr
Garbage is not collected regularly in Morgaon.,Sanitation,Negative,Medium,Someshwar,2025-09-11,412306,en
